MSI|Ноутбук Intel Core i7 10750H/16 ГБ/1024 Гб/17.3''/1920x1080/NVIDIA GeForce RTX 2070 Max-Q/Windows||179 991 ₽|-10%
MSI|Ноутбук Intel Core i5 10300H/8 ГБ/512 Гб/15.6''/1920x1080/NVIDIA GeForce GTX 1660Ti/Windows|||0%
MSI|Ноутбук Intel Core i5 10300H/8 ГБ/512 Гб/15.6''/1920x1080/NVIDIA GeForce GTX 1650Ti/Windows||85 550 ₽|-8%
MSI|Ноутбук Intel Core i7 10750H/8 ГБ/512 Гб/15.6''/1920x1080/NVIDIA GeForce GTX 1650Ti/Windows||90 134 ₽|-4%
MSI|Ноутбук Intel Core i7 10875H/32 ГБ/1024 Гб/15.6''/1920x1080/NVIDIA GeForce RTX 2070 Max-Q/Windows||185 990 ₽|-7%
MSI|Ноутбук Intel Core i7 10750H/16 ГБ/512 Гб/15.6''/1920x1080/NVIDIA GeForce GTX 1660Ti Max-Q/Windows||132 980 ₽|-7%
Asus|Ноутбук Intel Core i5 10210U/8 ГБ/512 Гб/13.3''/1920x1080/NVIDIA GeForce MX250/Windows||74 791 ₽|-12%
Asus|Ноутбук Intel Core i5 1035G1/8 ГБ/256 Гб/13.3''/1920x1080/Intel UHD Graphics/Windows||60 960 ₽|-9%
Acer|Ноутбук Intel Core i7 1065G7/16 ГБ/1024 Гб/14''/1920x1080/Intel Iris Plus Graphics G7/Linux||75 591 ₽|-10%
Asus|Ноутбук Intel Core i7 9750H/16 ГБ/512 Гб/15.6''/3840x2160/NVIDIA GeForce RTX 2060/Windows||153 111 ₽|-13%
MSI|Ноутбук AMD Ryzen 7 4800H/16 ГБ/512 Гб/15.6''/1920x1080/AMD Radeon RX 5600M/Windows|//images.wbstatic.net/c252x336/new/17890000/17893000-1.jpg|111 590 ₽|-7%
MSI|Ноутбук Intel Core i7/16 ГБ/1024 Гб/14''/1920x1080/NVIDIA GeForce GTX 1650Ti/Windows|//images.wbstatic.net/c252x336/new/17890000/17893983-1.jpg|127 746 ₽|-6%
Huawei|"Ноутбук Intel Core i5 10210U/13""/3000x2000"|//images.wbstatic.net/c252x336/new/18130000/18132308-1.jpg|109 240 ₽|-5%
MSI|Ноутбук AMD Ryzen 5 4500U/8 ГБ/256 Гб/14''/1920x1080/AMD Radeon Graphics/Windows|//images.wbstatic.net/c252x336/new/18200000/18204279-1.jpg|54 860 ₽|-7%
lenovo|Ноутбук Intel Core i5 1035G4/8 ГБ/256 Гб/14''/1920 x 1080/Intel Iris Plus Graphics/Windows|//images.wbstatic.net/c252x336/new/18560000/18561305-1.jpg|75 190 ₽|-6%
lenovo|Ноутбук Intel Core i5 1035G4/16 ГБ/512 Гб/14''/1920 x 1080/Intel Iris Plus Graphics/Windows|//images.wbstatic.net/c252x336/new/18560000/18561306-1.jpg|79 970 ₽|-7%
lenovo|Ноутбук Intel Core i5 1035G4/16 ГБ/1024 Гб/14''/1920 x 1080/Intel Iris Plus Graphics/Windows|//images.wbstatic.net/c252x336/new/18560000/18561307-1.jpg|85 431 ₽|-11%
lenovo|Ноутбук Intel Core i5 1135G7/16 ГБ/512 Гб/14''/1920 x 1080/Intel Iris Xe/Windows|//images.wbstatic.net/c252x336/new/18560000/18561308-1.jpg|82 790 ₽|-8%
lenovo|Ноутбук Intel Core i5 1135G7/16 ГБ/512 Гб/14''/1920 x 1080/Intel Iris Xe/Windows|//images.wbstatic.net/c252x336/new/18560000/18561309-1.jpg|82 790 ₽|-8%
lenovo|Ноутбук Intel Core i5 1135G7/16 ГБ/512 Гб/14''/1920 x 1080/Intel Iris Xe/Windows|//images.wbstatic.net/c252x336/new/18560000/18561310-1.jpg|82 790 ₽|-8%
lenovo|Ноутбук Intel Core i7 1165G7/16 ГБ/1024 Гб/14''/1920 x 1080/Intel Iris Xe/Windows|//images.wbstatic.net/c252x336/new/18560000/18561311-1.jpg|97 640 ₽|-7%
lenovo|Ноутбук Intel Core i7 1165G7/16 ГБ/512 Гб/14''/1920 x 1080/Intel Iris Xe/Windows|//images.wbstatic.net/c252x336/new/18560000/18561314-1.jpg|92 391 ₽|-16%
lenovo|Ноутбук Intel Core i7 1165G7/16 ГБ/512 Гб/14''/1920 x 1080/Intel Iris Xe/Windows|//images.wbstatic.net/c252x336/new/18560000/18561315-1.jpg|92 391 ₽|-16%
MSI|"Ноутбук Intel Core i7 10750H/16 ГБ/512 Гб/15.6""/1920 x 1080/NVIDIA GeForce GTX 1660Ti/Windows 10 Home"|//images.wbstatic.net/c252x336/new/18630000/18636333-1.jpg|100 090 ₽|-9%
MSI|"Ноутбук Intel Core i7 10750H/8 ГБ/512 Гб/15.6""/1920x1080/NVIDIA GeForce RTX 2060"|//images.wbstatic.net/c252x336/new/19080000/19081713-1.jpg|113 511 ₽|-12%
MSI|"Ноутбук Intel Core i7 10750H/8 ГБ/1024 Гб/15.6""/1920x1080/NVIDIA GeForce RTX 2060"|//images.wbstatic.net/c252x336/new/19080000/19081714-1.jpg|123 612 ₽|-11%
lenovo|Ноутбук Intel Core i7-1185G7/16 ГБ/512 Гб/14''/1920x1080/Intel Iris Xe Graphics/Windows 10 Home|//images.wbstatic.net/c252x336/new/19300000/19300007-1.jpg|158 090 ₽|-7%
lenovo|"Ноутбук Intel Core i5 1135G7/16 ГБ/512 Гб/15.6""/1920x1080/Intel Iris Xe Graphics/Windows 10 Home"|//images.wbstatic.net/c252x336/new/19300000/19300008-1.jpg|87 291 ₽|-10%
lenovo|"Ноутбук Intel Core i5 1135G7/16 ГБ/512 Гб/15.6""/1920x1080/Intel Iris Xe Graphics/Windows"|//images.wbstatic.net/c252x336/new/19300000/19300009-1.jpg|87 291 ₽|-10%
lenovo|Ноутбук Intel Core i5 1135G7/16 ГБ/1024 Гб/14''/1920x1080/Intel Iris Xe Graphics/Windows 10 Home|//images.wbstatic.net/c252x336/new/19300000/19300010-1.jpg|160 191 ₽|-10%
lenovo|"Ноутбук Intel Core i7 10750H/16 ГБ/512 Гб/15.6""/1920x1080/NVIDIA GeForce GTX 1650Ti/Windows"|//images.wbstatic.net/c252x336/new/19300000/19300011-1.jpg|165 431 ₽|-12%
